sku,nombre,categoria,precio,stock,stock_minimo
SKU00001,Bocina Bluetooth Canon,Audio,3066.61,---,50
SKU00002,Barra Sonido Razer,Audio,5904.83,16,20
SKU00003,SSD Externo Seagate,Almacenamiento,muchos,12,10
SKU00004,MicroSD,Almacenamiento,130.79,29,20
SKU00005,Ultrabook TP-Link,Electronica,25577.13,14,15
SKU00006,MacBook Canon,Electronica,32021.05,44,15
SKU00007,Toner,Impresion,1041.55,107,50
SKU00008,Chromebook Anker,Electronica,6627.19,2,5
SKU00009,Pantalla Portatil,Electronica,2621.06,59,25
SKU00010,Procesador Seagate,Componentes,13736.04,20,25
SKU00011,Notebook Xiaomi,Electronica,13495.99,1,15
SKU00012,Mouse MSI,Accesorios,405.31,86,pendiente
SKU00013,Teclado Gaming Lenovo,Accesorios,3113.32,17,20
SKU00014,MacBook MSI,Electronica,21584.06,1,5
SKU00015,Ultrabook Dell,Electronica,16490.73,67,25
SKU00016,Cable DisplayPort,Cables,402.26,23,10
SKU00017,Monitor Curvo MSI,Electronica,16463.90,14,50
SKU00018,Touchpad Epson,Accesorios,1880.55,6,30
SKU00019,Tarjeta Video Dell,Componentes,25597.81,6,10
SKU00020,Teclado Gaming Lenovo,Accesorios,$100,20,10
SKU00021,Bocina Corsair,Audio,634.14,3,15
SKU00022,Mouse Gaming Seagate,Accesorios,2093.45,52,20
SKU00023,Stylus Lenovo,Accesorios,1588.51,3,5
SKU00024,HDD Razer,Almacenamiento,None,46,20
SKU00025,Mouse,Accesorios,303.41,2,10
SKU00026,Audifonos Bluetooth Acer,Audio,508.77,54,NaN
SKU00027,Licencia Adobe,Software,5368.54,25,10
SKU00028,SSD Externo Lenovo,Almacenamiento,3573.72,16,15
SKU00029,Laptop Asus,Electronica,20545.16,34,30
SKU00030,Barra Sonido Canon,Audio,5944.84,error,20
SKU00031,NAS Sony,Almacenamiento,8620.71,21,10
SKU00032,Pantalla Portatil Apple,Electronica,8091.92,34,20
SKU00033,Microfono Corsair,Audio,1100.33,0,25
SKU00034,Teclado Epson,Accesorios,1210.05,57,20
SKU00035,Bocina Bluetooth Razer,Audio,3562.35,4,50
SKU00036,RAM Sony,Componentes,1652.19,0,5
